"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Mgat4c",1.95522603904458e-07,0.300376797449559,0.43,0.13,0.00504194138688426,2.55306895844847e-07
"Wsb2",2.00572969313936e-07,0.373356006198221,0.72,0.48,0.00517217515969848,2.61784469779271e-07
"Gm25574",2.01163460058829e-07,1.17138062123328,0.48,0.19,0.00518740214453701,2.62437903899883e-07
"Carmil1",2.61072997214688e-07,0.363363650495485,0.25,0.68,0.00673228937917517,3.40443850385761e-07
"AC124392.1",2.88782092803223e-07,0.265079979430688,0.67,0.41,0.00744682382711672,3.7640896612147e-07
"Tmem59",2.93031423281101e-07,0.452997852876272,0.91,0.98,0.00755640131214975,3.81777336041078e-07
"Gm43652",3.34279740279637e-07,0.650488683230221,1,1,0.00862007166259099,4.3532372775605e-07
"Tmem63a",3.46776805893744e-07,0.258878692583701,0.42,0.11,0.00894233349358198,4.51397081112133e-07
"Cox8a",3.49722375616988e-07,-0.301344843952917,0.99,0.99,0.00901829090003526,4.55028534154664e-07
"Slc25a14",3.57120657614457e-07,0.420883904933712,0.65,0.37,0.009209070397904,4.64447658455845e-07
"Crym",3.60237623824603e-07,0.941123194775622,0.51,0.2,0.00928944760556504,4.68292879035009e-07
"Gprasp1",3.8041827517676e-07,0.258998065106708,0.84,0.75,0.00980984606198312,4.9430684243386e-07
"Ociad2",3.92824283078188e-07,0.513103731033079,0.68,0.57,0.0101297597877372,5.10199969262511e-07
"Ogfrl1",4.10485403191598e-07,0.286106522557445,0.97,0.96,0.0105851870921017,5.32901272321182e-07
"Snrpn",4.24885693997685e-07,-0.429356299805847,0.88,0.98,0.0109565273911183,5.51351004961012e-07
"Gm14133",4.2975491106729e-07,0.340008349015901,0.08,0.43,0.0110820898916922,5.57421889532661e-07
"Lgi1",4.3485244487664e-07,0.310966067815159,0.84,0.89,0.0112135399960339,5.63783396131676e-07
"Lipe",4.60852733828085e-07,-0.660415545745559,1,1,0.0118840094472248,5.97227522409865e-07
"Mmd",4.71209892587499e-07,0.410957082135029,0.69,0.43,0.0121510895001538,6.10378756651036e-07
"Adam22",4.85724524737601e-07,0.276133896443516,0.88,0.93,0.0125253783194085,6.28901301754669e-07
"Pam",5.06923901315873e-07,0.493474232049437,0.95,0.99,0.0130720466432324,6.56058801835918e-07
"Meg3",5.28525622442541e-07,0.788465202405269,0.97,0.85,0.0136290902259258,6.83712729475049e-07
"Abcc5",5.30181068018589e-07,0.483887180081223,0.99,1,0.0136717792009953,6.85550641736298e-07
"Cryzl1",5.44886858305832e-07,0.677525186508354,0.79,0.8,0.0140509974151325,7.04254209341299e-07
"Paip2",6.17058021009417e-07,-0.302251341997071,0.94,1,0.0159120751877698,7.97181105426142e-07
"Gm5514",6.42934964401445e-07,0.334550615079485,0.15,0.57,0.0165793639270201,8.30244487628921e-07
"Cdk14",6.47145741520589e-07,0.336332919310397,0.74,0.61,0.0166879472365914,8.3531273132198e-07
"Nefl",6.51059642616492e-07,0.296639253406616,0.7,0.41,0.0167888750041515,8.39993470001225e-07
"Gm26723",7.57695270007173e-07,0.367550808751169,0.22,0,0.019538687927675,9.77142553505939e-07
"Gm11225",8.24168923316644e-07,0.480690140566454,0.96,1,0.0212528440255663,1.06239956972988e-06
"Commd3",8.28590839128233e-07,0.999915197018695,0.81,0.79,0.0213668719685997,1.06762851393629e-06
"Cited4",8.34943748076399e-07,-0.397358731321122,0.02,0.26,0.0215306944316461,1.07533980958164e-06
"Ndufb4",8.3957196849803e-07,0.482426047189767,0.95,0.99,0.0216500423516587,1.08082402819865e-06
"Jak1",8.59750956400282e-07,0.463648526380351,0.87,0.81,0.0221703979126941,1.10631389587895e-06
"Smim18",8.70243756125575e-07,0.320966633757382,0.26,0.02,0.0224409757392102,1.11932277042836e-06
"Gabarapl2",8.76907503198095e-07,0.416641446300515,0.96,0.97,0.0226128137849693,1.12739736656762e-06
"H2-D1",9.0287570947424e-07,0.2949264912639,0.41,0.95,0.0232824559202122,1.16027274411538e-06
"Rgs2",9.2311627879249e-07,0.374359982190981,0.68,0.41,0.0238043994812219,1.18576193946916e-06
"Zbtb18",1.02118534628291e-06,0.397705811702787,0.69,0.48,0.0263333065245974,1.31115709735929e-06
"Srpk2",1.03503248532293e-06,0.30150652761548,0.93,0.95,0.0266903826990224,1.32835232408975e-06
"Kctd13",1.08397694340652e-06,1.17411698095316,0.81,0.72,0.0279525134396238,1.39055628093563e-06
"Atp11a",1.20564123509112e-06,0.281288011860677,0.65,0.36,0.0310898705292948,1.54595173296803e-06
"AA465934",1.26418111914339e-06,1.04334651301756,0.95,0.99,0.0325994385193507,1.62030410224566e-06
"Tmed5",1.33384257420372e-06,-0.474764683078602,0.9,0.99,0.0343957984609913,1.70883954353029e-06
"Ccl3",1.43814181486065e-06,0.432483096085202,0.21,0,0.0370853629798116,1.84084673146711e-06
"Gm43048",1.43814181486065e-06,0.406920972726649,0.21,0,0.0370853629798116,1.84084673146711e-06
"Atp6v1c1",1.48624932323622e-06,0.659662012687496,0.9,0.96,0.0383259112982924,1.90159188487648e-06
"Mrpl48",1.54503637682883e-06,0.61054458592837,0.92,0.97,0.039841853049285,1.97594188122461e-06
"Gm15758",1.54604881282041e-06,0.253059600041666,0.45,0.2,0.0398679607361999,1.97637137078705e-06
"Clip3",1.64790752546614e-06,0.264865649104148,0.85,0.65,0.0424945913591953,2.1056596158734e-06
"Kif3a",1.9765329498232e-06,0.41171197267912,0.86,0.89,0.050968855177091,2.52446556468456e-06
"Srgn",2.03613712050455e-06,0.262770762709807,0.42,0.12,0.0525058679264509,2.59945652490988e-06
"Cox7b",2.17392613183693e-06,-0.260624280870024,0.96,0.99,0.056059033161679,2.774153879902e-06
"Gm9687",2.433495561607e-06,0.591062287804539,0.05,0.32,0.0627525500471597,3.10403516832054e-06
"Brd9",2.66292956916598e-06,0.51808926624049,0.88,0.91,0.068668964800083,3.39520614209246e-06
"Capza2",2.66620610364861e-06,0.982447695762144,0.96,1,0.0687534567947867,3.39790053610715e-06
"Tyrobp",2.71558931468007e-06,0.674218854559524,0.2,0,0.070026901657655,3.45932681560423e-06
"Gm22122",2.96299606315828e-06,0.305981430340036,0.22,0.01,0.0764067794806626,3.77284721032491e-06
"Lyz2",3.06437461975204e-06,0.416657071410128,0.29,0.04,0.0790210283195458,3.90023453781948e-06
"Tmem50a",3.67176706904479e-06,0.353414250682046,0.96,0.96,0.0946838574094579,4.67126812224731e-06
"Gm27316",3.6964083366877e-06,0.634755545391664,0.38,0.13,0.0953192817781658,4.70056976554845e-06
"Rab6a",3.84642635162039e-06,0.502306070618817,0.92,0.98,0.0991877963292349,4.88921295608492e-06
"Ube2w",4.17876384684419e-06,1.0112155594093,0.82,0.92,0.107757783318571,5.30933849353279e-06
"Acbd5",4.21013751888721e-06,0.276547720232591,0.87,0.9,0.108566816199545,5.34669955284834e-06
"Mbnl1",4.2118300825416e-06,0.256086039177854,0.95,0.9,0.1086104623385,5.34669955284834e-06
"Morf4l2",4.37979932690203e-06,-0.303618335073279,0.92,1,0.112941885242823,5.55751252557811e-06
"Mrps33",4.47853181267237e-06,0.709575199373622,0.92,0.97,0.115487899853383,5.68032628085801e-06
"Tspan13",4.55522620981576e-06,1.01006591523202,0.8,0.78,0.117465618272519,5.77509364534368e-06
"Trappc2",4.61975995520058e-06,0.327085272432479,0.79,0.73,0.119129749964757,5.85436825559258e-06
"Yae1d1",4.6464335782421e-06,0.263983189292886,0.96,1,0.119817582682129,5.88561686125116e-06
"Bcl11a",4.75167097287984e-06,0.257869491541114,0.76,0.51,0.122531339377653,6.01631162192546e-06
"Napg",4.83505266980467e-06,1.38080291964065,0.8,0.86,0.124681503196253,6.11923260333598e-06
"Igsf8",4.90249833926397e-06,0.462010575156173,0.76,0.64,0.1264207246746,6.20190456864012e-06
"Cox6b1",5.04192633524179e-06,0.626500713191813,0.99,0.98,0.13001615440688,6.3755267641737e-06
"Aif1",5.10209374020516e-06,0.562542025829254,0.19,0,0.13156769127867,6.4488168823623e-06
"Gpcpd1",5.13495821300889e-06,0.370764418148908,0.74,0.56,0.13241516743886,6.48754884956703e-06
