"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"ADAM28",2.25935764007011e-13,-0.632082456851668,0.055,0.486,6.45905162143243e-09,4.23195065659286e-12
"TPST2",2.43766908646153e-13,-0.999944537301661,0.543,0.824,6.96880838437623e-09,4.47979186832742e-12
"ATP8B4",5.98486978173178e-13,-0.398679886346121,0.063,0.5,1.71095457320148e-08,1.0794931791494e-11
"CST7",8.15494525217729e-13,-1.09799367896068,0.378,0.757,2.33133574869244e-08,1.44416666829467e-11
"AC068775.2",8.58288956936272e-13,-0.80673843294618,0.079,0.5,2.45367647008942e-08,1.49280972152845e-11
"PTGDR",2.27856330355219e-12,-0.596860637659283,0.118,0.554,6.51395677219501e-08,3.89354501343831e-11
"AOAH",3.34196161147154e-12,-0.831583392535799,0.228,0.649,9.55399985487484e-08,5.61219070616083e-11
"ITGAM",4.02443983536755e-12,-0.367652493371998,0.055,0.446,1.15050686013487e-07,6.64373627058981e-11
"PTGER4",4.43913087352175e-12,0.573705966741007,0.874,0.405,1.2690587341224e-07,7.20618911801697e-11
"NCR1",4.93917905126896e-12,-0.456439475908048,0.15,0.568,1.41201250717677e-07,7.88649245235405e-11
"CD27",5.61872731154708e-12,0.57888485837082,0.717,0.176,1.60628176382508e-07,8.82683935717235e-11
"CD40LG",7.79567785320166e-12,0.612306390524162,0.622,0.189,2.22862838467329e-07,1.19088816409353e-10
"TRAT1",7.82513783387946e-12,0.765365871378034,0.717,0.243,2.23705040394946e-07,1.19088816409353e-10
"LTB",8.6212182579994e-12,0.899235209575446,0.984,0.878,2.46463387559687e-07,1.29185639742945e-10
"IL32",8.98928358178241e-12,0.927808302164684,0.961,0.797,2.56985639035995e-07,1.32660033464486e-10
"SRGN",9.77887591296211e-12,-0.83730510491071,0.976,0.973,2.79558504599761e-07,1.42158584167539e-10
"IL7R",1.06642683347248e-11,0.904641958045046,1,0.905,3.04870103153113e-07,1.52749961147382e-10
"DGKA",1.2282940745806e-11,1.15711537848011,0.921,0.716,3.51144710041101e-07,1.73385279513261e-10
"RPS27",1.45978176843391e-11,0.314737217517433,1,1,4.17322411959885e-07,2.03118206064947e-10
"AC010186.4",2.50497093221183e-11,-1.02522126244006,0.063,0.432,7.16121090100718e-07,3.43639674362581e-10
"MYH9",2.73564243517926e-11,0.298286257107185,0.913,0.446,7.82065459369047e-07,3.70071629425639e-10
"S100A4",2.83878532881288e-11,1.06581376073978,0.945,0.743,8.11551949801027e-07,3.78763960310103e-10
"KLRC4",2.89776061756141e-11,-0.332058633743381,0.039,0.419,8.28411805348455e-07,3.81407951554704e-10
"MT-CO1",3.11098382922357e-11,-0.389701370374663,1,1,8.89368057098434e-07,4.04013099955168e-10
"ADGRG3",9.27638739599976e-11,-0.544301144687364,0,0.297,2.65193362876841e-06,1.18884227943471e-09
"RPL39",9.40898819670489e-11,0.745567663939334,0.984,0.851,2.68984154567399e-06,1.19017590955722e-09
"RPLP2",1.02841053778844e-10,0.552592489790531,1,0.973,2.9400200454296e-06,1.28419469718711e-09
"FES",1.23341000691653e-10,-0.433017952778579,0.039,0.392,3.52607252777297e-06,1.52068524903379e-09
