"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"CPNE7",4.73662240920181e-05,-0.462200754671795,0.108,0.317,1,0.000174475584946548
"ARHGAP15",4.8148530372392e-05,-0.546914854128557,0.689,0.866,1,0.000176241790419699
"FNBP1",5.20838128060396e-05,-0.287100608416473,0.608,0.767,1,0.000189454869081969
"FAM49B",5.67717391875053e-05,0.512137224489097,0.838,0.72,1,0.000205224547870361
"MCTP2",5.79016075561582e-05,0.401126966903125,0.419,0.253,1,0.000208016886405457
"PLEKHF1",6.46561537313975e-05,-0.377410880716196,0.189,0.408,1,0.000230858168537873
"HLA-F",7.13556136391963e-05,0.376450495622174,0.946,0.922,1,0.000253225409378124
"DGKA",7.32227967808833e-05,-0.712272674817605,0.716,0.782,1,0.000256980133416663
"LST1",7.32967390844777e-05,-1.14536899208556,0.784,0.868,1,0.000256980133416663
"CD2",7.86584973458624e-05,0.433074705972738,0.932,0.753,1,0.000274127218295161
"ZBP1",8.01583682429672e-05,0.315116741370043,0.473,0.272,1,0.000277691489984565
"IL23R",8.89792829697047e-05,-0.812466012851709,0.446,0.557,1,0.000306425696380877
"TC2N",9.25855516300252e-05,0.422781098878696,0.622,0.425,1,0.000316501800993831
"RPL13",9.29927971992185e-05,-0.294432667007501,1,0.993,1,0.000316501800993831
"TRBC1",9.820708370147e-05,-0.412543858019907,0.892,0.936,1,0.000332305364617765
"MCUB",9.90694128357804e-05,0.298887389694153,0.622,0.409,1,0.0003332855391354
"IFNGR1",0.000102990967888403,-0.342649167373848,0.311,0.552,1,0.000344487030523279
"ABRACL",0.000109343087042106,-0.363391278139894,0.378,0.622,1,0.000363643866620033
"DDIT4",0.000124527068417818,-0.545003186911813,0.77,0.864,1,0.000411788373972556
"ICOS",0.000126583875145944,-0.41909653876413,0.257,0.451,1,0.000414777801282686
"KLRB1",0.000126856440942127,-0.566674636615361,0.905,0.875,1,0.000414777801282686
"RGS3",0.000129939198713083,0.319769463737522,0.527,0.345,1,0.00042248387514533
"MTRNR2L8",0.000152604037282669,-0.291186068973817,0.973,0.984,1,0.000492272218175625
"CAPG",0.000153094968195512,0.431772286004949,0.797,0.61,1,0.000492272218175625
"ISG20",0.000154226054277227,0.58085712151198,0.595,0.444,1,0.000493184415326077
"TSSC4",0.000156509204996177,0.403161225988696,0.365,0.193,1,0.000497750586381285
"C1orf162",0.000164551200530622,0.333575040198894,0.676,0.449,1,0.000520482601678381
"PRNP",0.00017924623204261,-0.318050882240949,0.378,0.557,1,0.000563898957020536
"PIK3IP1",0.000181374899035813,-0.510639518139935,0.784,0.871,1,0.000567527909886252
"SPOCK2",0.000187499030350629,-0.311052205614566,0.432,0.639,1,0.000583553131893401
"TSPYL2",0.00019799796228361,-0.352002586619347,0.351,0.533,1,0.000612951138558834
"TOB1",0.000205557954415994,-0.72788463027848,0.514,0.645,1,0.000632987986614332
"LITAF",0.000212288595616668,0.697903018403088,0.514,0.366,1,0.000650273487625792
"NABP1",0.000216421815055651,-0.320629546229029,1,1,1,0.000659463331740257
"RAB29",0.000227538540156538,0.479815694497708,0.77,0.716,1,0.000689726199849505
"H2AFY",0.000229833887780799,-0.378642878451821,0.284,0.503,1,0.000693074210820855
"AL390728.6",0.000236913866387049,0.320836774110143,0.811,0.645,1,0.000710741599161147
"PSAP",0.000245546923923075,-0.457993647735187,0.73,0.828,1,0.000732751824113272
"AL031846.1",0.000246768655543301,0.334402193551872,0.122,0.031,1,0.000732751824113272
"BIN2",0.000261300499692158,0.354623554805413,0.811,0.695,1,0.000771963912796122
"CD40LG",0.000264847826726347,-0.416897926475771,0.189,0.362,1,0.00077849209674108
"HSH2D",0.000271694806385841,0.344734897621352,0.77,0.659,1,0.000794604911138491
"PTGER4",0.000287626059081093,-0.35960522427637,0.405,0.596,1,0.000836991831925981
"TSPAN32",0.000312484185109717,0.273456301080199,0.514,0.308,1,0.000904804953899778
"SLA2",0.000321322955928053,0.278893468531018,0.608,0.446,1,0.000925791882921421
"CD84",0.00036167247509303,-0.347122480004917,0.595,0.679,1,0.00103691320445391
"LPXN",0.000363479990763318,-0.432007196645413,0.527,0.672,1,0.00103698703247182
"TMCO1",0.000379337589732794,-0.460967155481039,0.527,0.723,1,0.00107694866938774
"TIMM8B",0.000386003494750971,0.290313371981465,0.459,0.268,1,0.00109055356284012
"FLOT1",0.000400309553504149,0.403548039555347,0.581,0.443,1,0.00112550801999717
"CTSC",0.000420568355534361,0.375853384883195,0.811,0.756,1,0.00117678261019711
"ZNF276",0.000423804857570601,0.274276596554085,0.608,0.448,1,0.00118016472299565
"SLFN13",0.000440503650288057,0.37270277695317,0.581,0.453,1,0.0012208244022269
"NCR2",0.000444894393169129,-0.554544198563324,0.135,0.303,1,0.00122264321997551
"IER2",0.000445361447826132,0.478240131644067,0.892,0.885,1,0.00122264321997551
"ZNF75A",0.000477238491470562,-0.289932550971307,0.5,0.669,1,0.00129860792328953
"AC245297.3",0.000477495009594432,0.290476522908551,0.432,0.254,1,0.00129860792328953
"STOM",0.000506598910207415,0.304058312623606,0.865,0.706,1,0.00135720565111868
"AC006435.4",0.000508369127051325,-0.293701715948786,0.811,0.89,1,0.00135720565111868
"AC015967.2",0.000508369127051325,-0.293701715948786,0.811,0.89,1,0.00135720565111868
"AL356737.1",0.000508369127051325,-0.293701715948786,0.811,0.89,1,0.00135720565111868
"IRF1",0.000549219296645982,0.320926221029009,0.892,0.838,1,0.00145696160975525
"LINC00299",0.000550741501969339,-0.664571858697619,0.311,0.458,1,0.00145696160975525
"CD38",0.000555502827791537,0.271009893234377,0.338,0.199,1,0.00146290789943292
"SNHG22",0.00058136011508192,0.281676760447839,0.203,0.082,1,0.00152410624764719
