"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"PTGER2",5.78005109164601e-28,-0.43886159076624,0.049,0.424,1.65240100607976e-23,7.93793683252718e-27
"RPS14",9.92689563205643e-28,-0.398438616551328,0.994,1,2.83790092329229e-23,1.33365684795889e-26
"C1orf162",1.03602749708936e-27,-0.842227676707323,0.263,0.668,2.96179540867905e-23,1.36226594298132e-26
"ELOVL6",1.2156422805847e-27,0.344810776832733,0.744,0.391,3.47527815173554e-23,1.5651394362528e-26
"IL32",1.69553185714723e-27,-0.885123866851056,0.737,0.938,4.84718647321251e-23,2.13844630146324e-26
"PECAM1",2.22982564602819e-27,0.802688601492734,0.763,0.5,6.37462555686538e-23,2.75606449849084e-26
"S1PR1",2.28779635540996e-27,-0.612094178404325,0.123,0.512,6.54035222084599e-23,2.77227087773207e-26
"LIME1",3.35509050154568e-27,-0.593145234389351,0.036,0.385,9.5915327258188e-23,3.98739601914468e-26
"RPL13A",9.02951042560764e-27,-0.48993909313814,0.964,0.994,2.58135644047271e-22,1.0528749892501e-25
"FCER1G",2.84212679964285e-26,0.765408709790566,0.893,0.588,8.12507209481897e-22,3.25265622625792e-25
"TYROBP",3.11643211984553e-26,0.521183108219928,0.782,0.303,8.9092561442144e-22,3.50173645466279e-25
"LIF",4.42822832546818e-26,0.261063685446415,0.377,0.047,1.26594191368484e-21,4.88686625917739e-25
"SELPLG",6.22969079016932e-26,-0.649491772427348,0.37,0.735,1.7809440030936e-21,6.7542963303941e-25
"CA2",8.33259639628443e-26,0.531124268391352,0.36,0.038,2.38212265776979e-21,8.87852512569616e-25
"RPL23A",1.503074495061e-25,-0.457679549531705,0.987,0.997,4.2969893664804e-21,1.57440684397915e-24
"STAC",4.7247658513533e-25,0.39946159449323,0.312,0.018,1.35071606158488e-20,4.8665088268939e-24
"AL121845.2",6.00140011061576e-25,-0.289041456019271,0.029,0.356,1.71568026362283e-20,6.08010699731236e-24
"GIMAP4",8.84279394917447e-25,-0.664137744798393,0.256,0.647,2.52797793419e-20,8.81426880740294e-24
"AC005884.2",1.65376191181916e-24,-0.457708923196677,0.938,0.982,4.7277745535086e-20,1.62226168492736e-23
"RPL18A",1.18272274098972e-23,-0.496855052039235,0.99,0.997,3.38116777194142e-19,1.1420666467682e-22
"CPNE7",1.23933859719766e-23,0.568376942112045,0.474,0.129,3.54302118166867e-19,1.17832500472024e-22
"RPS19",1.77402910740112e-23,-0.40098022260459,0.994,1,5.07159441223831e-19,1.6561644558229e-22
"RORC",1.79551809935493e-23,0.290983295851206,0.36,0.053,5.13302714243586e-19,1.6561644558229e-22
"SYTL3",1.87577474921017e-23,-0.353728647062525,0.084,0.426,5.36246485304202e-19,1.70474822795865e-22
"ATP8B4",2.73272402606281e-23,0.414339263275087,0.51,0.147,7.81231144570835e-19,2.44757021464756e-22
"NRP1",4.41819833400485e-23,0.564016041440772,0.633,0.315,1.26307453972531e-18,3.90063795773571e-22
"LITAF",5.68801906071789e-23,-0.710905862903242,0.205,0.544,1.62609088907803e-18,4.95097997116008e-22
"A2M",7.55166537848038e-23,-0.375656423568366,0.045,0.353,2.15887009839997e-18,6.48184611652899e-22
"CSGALNACT1",8.17050993466608e-23,-0.347012865577835,0.101,0.435,2.33578538012234e-18,6.91695224605978e-22
"KLRF2",8.93720272263847e-23,0.516195524293945,0.305,0.024,2.55496751434789e-18,7.46377200350078e-22
"RPL27A",1.06487437774944e-22,-0.53564262435096,0.948,0.994,3.0442628711101e-18,8.77456487265539e-22
"RPS3",1.10992072423076e-22,-0.57247104084797,0.942,0.997,3.1730413664309e-18,9.02540799440276e-22
"RPS29",1.70889246472861e-22,-0.554939383287335,0.942,0.994,4.88538177816616e-18,1.37155265350946e-21
"GIMAP7",2.8119590031642e-22,-0.720308448667398,0.565,0.841,8.03882839824583e-18,2.22793674866087e-21
"IL17RB",4.80550578699008e-22,-0.590035274307981,0.019,0.303,1.37379799438473e-17,3.75924376754414e-21
"RPL21P16",5.30503103600099e-22,-0.555393765210321,0.883,0.95,1.51660227257196e-17,4.09813647531077e-21
"LINC01871",7.52899127450942e-22,1.14900989226869,0.562,0.206,2.15238802555675e-17,5.744341490922e-21
"ITM2C",9.00396937145193e-22,0.484615770413526,0.578,0.221,2.57405476391068e-17,6.78591837994792e-21
"TLE1",9.62911067802303e-22,0.354549773137798,0.464,0.124,2.75277016063322e-17,7.16962698676896e-21
"LDHB",1.09917350306143e-21,-0.844360458947447,0.666,0.882,3.142317210552e-17,8.08677648680906e-21
"ENPP1",1.30871562207327e-21,0.25708028817718,0.815,0.615,3.74135622038305e-17,9.51513240519152e-21
"XCL2",1.54253262421652e-21,0.416992685953456,0.724,0.341,4.40979226611018e-17,1.10847111833234e-20
"RPL34",1.73517821237224e-21,-0.421099889499925,0.977,0.994,4.96052747352977e-17,1.2325748680989e-20
"GRAP2",2.08801614227396e-21,-0.276927901379026,0,0.256,5.9692205475328e-17,1.46635679082421e-20
"TRAT1",2.32682785928733e-21,-0.383529695001677,0.179,0.556,6.65193548413063e-17,1.61570743487592e-20
"SIT1",2.47914585265279e-21,-0.395719937388298,0.003,0.262,7.0873821635638e-17,1.70234681882158e-20
"CD74",3.36146467766692e-21,0.666664786893139,0.987,0.929,9.60975522051419e-17,2.28284084703094e-20
"NSMCE1",4.17650353832003e-21,0.824474822445812,0.812,0.541,1.19397883153493e-16,2.80552085508889e-20
"KLRG1",4.42075907894392e-21,-0.796511476676058,0.231,0.547,1.26380660548849e-16,2.93766571052403e-20
"IFITM2",6.75195163706599e-21,-0.538315837727636,0.984,0.991,1.93024793400442e-16,4.43904905500721e-20
"PRR5",7.80901436996058e-21,0.569773696785764,0.581,0.297,2.23244102808433e-16,5.07996934803751e-20
"RIPOR2",1.30753142228995e-20,-0.404638663058588,0.786,0.912,3.73797083004251e-16,8.41723353099156e-20
"MPG",1.43183945267028e-20,0.626026818382079,0.552,0.221,4.09334262729379e-16,9.12244104897146e-20
"ADAM28",1.59570042958301e-20,0.480318454296326,0.471,0.144,4.56178838809191e-16,1.00626823008398e-19
"SORL1",2.27507891475577e-20,-0.360304567386918,0.455,0.771,6.50399560150379e-16,1.42020077708996e-19
"SH2D2A",2.81134127805046e-20,-0.253381181736645,0.068,0.376,8.03706244569065e-16,1.73740890983518e-19
"TNFRSF25",4.54429705796494e-20,0.610150582942972,0.932,0.803,1.29912364293102e-15,2.78056988299241e-19
"PTGDR",5.09774360112068e-20,0.316199643655756,0.558,0.197,1.45734294068838e-15,3.08863288773782e-19
"FCMR",6.08603689555913e-20,-0.662661887940103,0.422,0.738,1.73987622770244e-15,3.65162213733548e-19
"RPLP2",1.30288753148124e-19,-0.537224760144383,0.873,0.976,3.72469487499857e-15,7.74215860053275e-19
"ARL4C",1.4098274833059e-19,-0.258729296700708,0.208,0.535,4.03041480927492e-15,8.29784175888617e-19
"FES",2.16621288140423e-19,0.390601222364286,0.51,0.182,6.19276938535841e-15,1.26294298179982e-18
"IFITM1",2.30444676194662e-19,-0.57689903926877,0.89,0.968,6.58795240305299e-15,1.33097953166636e-18
"LAT",3.18964127061572e-19,-0.757461420033535,0.636,0.818,9.11854646443621e-15,1.82518361596344e-18
"C10orf128",3.62911336340518e-19,-0.490745889449487,0.01,0.25,1.03749092833027e-14,2.0576073931967e-18
"HDAC9",5.19314742887011e-19,0.614599557463542,0.536,0.274,1.48461698696539e-14,2.91760464640157e-18
"RPL10",5.59223908946444e-19,-0.44812245937822,0.958,0.991,1.59870931089609e-14,3.11351689845858e-18
"TLE4",7.69421047741272e-19,-0.338586869788405,0.084,0.376,2.19962089128275e-14,4.24555542414381e-18
"TXNIP",8.98473666861729e-19,-0.596346149777942,0.974,0.991,2.56855651882431e-14,4.91377633734999e-18
"BST2",9.22340875403257e-19,0.667545344483734,0.753,0.447,2.63678809460283e-14,5.00005842981765e-18
"HLA-DRB1",9.88843620672108e-19,0.3935143114596,0.617,0.271,2.82690614277742e-14,5.31395963109011e-18
"HPGDS",1.14724067398096e-18,-0.629953139194073,0.013,0.253,3.27973163877677e-14,6.07508124958265e-18
"ADAM10",1.15013674142584e-18,0.503064830417191,0.828,0.568,3.28801091638819e-14,6.07508124958265e-18
"AL356272.1",1.41365214811651e-18,0.255164789748103,0.263,0.026,4.04134876103547e-14,7.40370362318645e-18
"GIMAP5",2.10197949993642e-18,-0.520833443898973,0.299,0.624,6.00913899441824e-14,1.0916162445048e-17
"RPS8",2.47270373490877e-18,-0.530021284616756,0.766,0.915,7.0689654373572e-14,1.27344242347802e-17
"LAPTM5",2.66732038636226e-18,-0.474320257028774,0.724,0.938,7.62533552053243e-14,1.36231735435692e-17
"RPL19",3.28057751933192e-18,-0.516527922880901,0.86,0.962,9.37851501226611e-14,1.66180074339929e-17
"HPGD",3.50842212902249e-18,-0.426510446930512,0.01,0.241,1.00298771824495e-13,1.7627681916552e-17
"ZFP36L2",4.18884832536763e-18,-0.485504823458333,0.964,0.994,1.1975079592561e-13,2.08766795570741e-17
"AC112491.1",4.8113342202552e-18,-0.371138607839657,0.919,0.985,1.37546422688656e-13,2.37872363849417e-17
"LTC4S",5.03308251234562e-18,0.487793744733173,0.328,0.062,1.43885762862937e-13,2.46860713700762e-17
"TNFRSF4",5.34875008192467e-18,0.558068021170124,0.51,0.209,1.52910067342063e-13,2.60277759892083e-17
"S100A6",5.78937554442099e-18,-0.703659430101351,0.468,0.756,1.65506668063907e-13,2.79518288004076e-17
"SIGLEC7",7.30965746542478e-18,0.364889494533535,0.364,0.085,2.08968487621564e-13,3.50183590204071e-17
"PDCD4",8.60055888067641e-18,-0.558214878631565,0.75,0.941,2.45872777280777e-13,4.08857337558309e-17
"RPL13",1.09173127836372e-17,-0.363023295881197,0.987,1,3.12104137858621e-13,5.15030480938001e-17
"ANKRD10",1.49179386359409e-17,0.684026806736161,0.935,0.794,4.2647402972428e-13,6.936553768333e-17
"PPP3CA",1.49281820580629e-17,0.446022440609668,0.997,0.982,4.26766868675903e-13,6.936553768333e-17
"LY6E",1.77261280909905e-17,-0.55387532852649,0.295,0.6,5.06754549865236e-13,8.17518444793442e-17
"TCIRG1",2.09757301863627e-17,0.476273603339639,0.614,0.3,5.99654174567736e-13,9.60222315197935e-17
"LTB",2.72670323682405e-17,0.890995225776812,0.987,0.944,7.79509921343259e-13,1.23904602967446e-16
"RPS6",2.78048204597992e-17,-0.400688294232252,0.974,0.997,7.94884207304738e-13,1.25426124409897e-16
"IKZF2",3.20219414652854e-17,0.260656782070422,0.39,0.109,9.15443262609578e-13,1.43402607431495e-16
"TRAC",3.22611177012223e-17,0.489427970805859,0.912,0.674,9.22280832842544e-13,1.43434321865866e-16
"STARD3NL",3.40021911077249e-17,0.708481240549462,0.682,0.421,9.72054639387638e-13,1.50095386461243e-16
"CD2",3.75661390642339e-17,0.537216251500314,0.925,0.635,1.07394078356832e-12,1.64651588238983e-16
"RASGRP2",4.44027468944408e-17,-0.281307323630106,0.107,0.403,1.26938572821827e-12,1.93245757611017e-16
"CCL20",5.88841707895514e-17,0.643976737306607,0.279,0.044,1.68338067453169e-12,2.54478444391208e-16
"RPS12",6.45819615237748e-17,-0.611515831430348,0.769,0.912,1.84626911604167e-12,2.77164251539534e-16
"CXCR3",1.6271107164281e-16,-0.278918259206998,0.023,0.247,4.65158411612464e-12,6.93485808794871e-16
"SH2D1A",1.87446826315972e-16,-0.451693696116371,0.075,0.326,5.35872987072102e-12,7.93439305912814e-16
"FXYD5",2.1348486738827e-16,0.542889171687108,0.948,0.918,6.10310538889586e-12,8.97507809836399e-16
"LSP1",3.08277440327794e-16,0.587648412712561,0.899,0.794,8.81303546409097e-12,1.28726660893633e-15
"DHRS3",4.79170639740779e-16,0.51857740382838,0.659,0.371,1.36985302489094e-11,1.98743258630739e-15
